gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G52690,15517.0692968571,9.92144968875872,0.217935812817013,45.5246412258509,0,0
AT4G27410,4165.37480764725,4.18883066830844,0.107509247308797,38.9625150688382,0,0
AT2G15970,33541.2448817594,4.3488495390848,0.118404968362783,36.7286069091314,2.55290641415706e-295,2.01790232663021e-291
AT2G38310,10542.4783053763,-3.86600772757747,0.110488769229023,-34.9900515188465,3.18764377584379e-268,1.88971492141459e-264
AT3G17790,3420.91511410665,3.31681773441843,0.100067529197315,33.1457942553798,6.51139461098004e-241,3.0880940082034e-237
AT5G52300,2675.3592356344,10.1106446422102,0.305838855093938,33.0587316614978,1.16529897213825e-239,4.60545575438574e-236
AT2G41190,4036.9605322146,4.67140225443048,0.14223896632481,32.841930556238,1.4850644899338e-236,5.03076203568574e-233
AT5G52310,18566.5348505036,7.17829642398411,0.223384285629366,32.134294512973,1.46390545328961e-226,4.33919875173207e-223
AT2G19900,2092.41725746108,5.88145874400279,0.196114797876919,29.9898773966764,1.32993509618843e-197,3.50408343732403e-194
AT1G72770,5871.02677227879,2.37766222651495,0.0793304436148526,29.9716239840842,2.3001829054632e-197,5.45442372372488e-194
AT5G57050,2285.39191664335,4.74139801696858,0.158698335775358,29.8767973451225,3.93998820435499e-196,8.4935400263518e-193
AT5G28520,2153.93092859435,8.59548644275733,0.295097606457359,29.1276047472765,1.60559633219543e-186,3.17279215211252e-183
AT3G11410,6298.94019119347,3.19501757638797,0.110674875694013,28.8684993441634,2.96894336771492e-183,5.41558108297108e-180
AT3G02480,21894.3601136285,9.53664328854523,0.333760790779813,28.57328827111,1.44317502375728e-179,2.44442923845403e-176
AT3G15670,2045.97521075292,9.28721236245014,0.325201765261734,28.5583085779853,2.21505132198819e-179,3.50170079988706e-176
AT1G14210,7713.80778549685,-1.58424699831099,0.0559540611925193,-28.3133514269881,2.36711865436709e-176,3.50821779068792e-173
AT2G29380,1225.61301281027,8.46183799586126,0.302938359686877,27.932540483178,1.07441969242663e-171,1.49868906861839e-168
AT1G02205,2021.95827736251,7.07153144265469,0.258556507211308,27.3500424295081,1.07864212124706e-164,1.42099114561841e-161
AT1G03790,705.188694777109,7.42396421545728,0.271511106785031,27.3431326746246,1.30331780891001e-164,1.62660922119384e-161
AT5G24080,869.200015912828,8.07719821023373,0.298561073542299,27.0537552481348,3.45003585605521e-161,4.09053501273186e-158
AT4G05100,824.113439857548,4.06571159868703,0.151063246843073,26.9139693714551,1.50733549170364e-159,1.70206888165564e-156
AT1G60190,776.545935944216,5.25494724150105,0.195741693285666,26.8463358689349,9.30778907459978e-159,1.00325273784538e-155
AT3G17520,3747.79673423086,11.0379073454265,0.41131458682683,26.8356817359206,1.23940324543588e-158,1.27782474604439e-155
AT5G03210,648.714759900769,5.88477825852413,0.222657311801614,26.4297552634042,6.23647034136025e-154,6.16189255019481e-151
AT3G61890,1601.9565393803,4.2849292440547,0.165552643346439,25.8825782388021,1.04627043430618e-147,9.58064744885527e-145
AT5G65990,1997.40300572595,3.41871381165174,0.132086308007604,25.8824238728433,1.0504652876913e-147,9.58064744885527e-145
AT1G07985,1073.15198087958,5.29604694154894,0.209676292732508,25.2582057443438,9.20287196452818e-141,8.08250751462433e-138
AT5G66400,2948.50999401296,8.2158077615936,0.326259842307678,25.1817928418102,6.3413029690166e-140,5.37040418943895e-137
AT1G05100,746.319835426537,5.19315673616228,0.207882005957411,24.9812710448167,9.76961985979855e-138,7.98851709432424e-135
AT2G43140,2391.17738861466,-5.51155778952646,0.221660307666118,-24.864883783471,1.78512965078074e-136,1.41102598029879e-133
AT2G39800,8991.77183169682,2.38583467405165,0.0964229012536338,24.7434441717935,3.64732547727593e-135,2.78996867879497e-132
AT5G66780,1998.91292962895,8.52060600967205,0.351573442628749,24.2356360763847,9.37196961383762e-130,6.94492235790411e-127
AT5G59220,3776.09633012004,5.74393060349786,0.24285524342367,23.6516639398942,1.13468870789909e-123,8.15359797891245e-121
AT5G37500,2205.77648117846,2.95492252595093,0.12539119463422,23.565630222846,8.68093476505666e-123,6.05444135540555e-120
AT3G01100,4002.5564258426,1.25075451689115,0.0532208700453051,23.5012038665739,3.96475590195626e-122,2.68617876294539e-119
AT5G11110,7494.38114347465,3.6496135440751,0.155758773728416,23.4311907876126,2.05602140372857e-121,1.35428987629488e-118
AT2G18550,395.19861755095,4.46746237874593,0.191906568760863,23.2793614496484,7.17556164259281e-120,4.5987592765082e-117
AT1G45249,3054.22034574115,2.04075696978782,0.0893835052261338,22.8314716974329,2.23310999354143e-115,1.39351940202232e-112
AT1G68020,1809.66947823141,1.81913876109286,0.0800290001146181,22.7309944955888,2.21266658959704e-114,1.34535802151576e-111
AT4G33540,3203.34869932123,1.68359242432285,0.0742525259896203,22.6738740788186,8.11307759218234e-114,4.8096352235855e-111
AT4G24960,7501.72879264395,3.58625075245565,0.15929390127285,22.5134215673007,3.06665922126052e-112,1.77365097838416e-109
AT5G17460,8792.40410632248,4.48742556406128,0.199453067861122,22.4986540050908,4.27849655225973e-112,2.41561877961274e-109
AT3G10820,1064.76223600444,1.878992673061,0.0836873507818363,22.4525290322468,1.2089434669775e-111,6.66690149591569e-109
AT1G54830,3151.4016256169,1.54142831728758,0.0692864028577593,22.2471979163364,1.20063406473953e-109,6.47059899481103e-107
AT1G78680,6525.97060252138,1.93446075547288,0.0870445443237408,22.223802427848,2.02204251674593e-109,1.0655265377688e-106
AT4G19230,9113.10084617606,3.45599636452386,0.156542554380984,22.0770408288653,5.25380889337844e-108,2.70833848453659e-105
AT5G01820,9140.71381889764,2.54491125352639,0.115379309741731,22.0569117567352,8.19930624814866e-108,4.13681168217764e-105
AT3G50970,22617.5302948218,4.5387302929379,0.207784028850552,21.8434993201636,8.9621388378755e-106,4.42748329713629e-103
AT4G09760,2267.07963202997,2.1504782472748,0.0987616624291572,21.774423337774,4.05541646714911e-105,1.96257327929606e-102
AT1G69260,2503.5932415738,4.82710580601417,0.22401023563967,21.5485948319735,5.457827889655e-103,2.58842945494778e-100
AT1G62570,12124.8882199251,3.04377763436524,0.143712386005511,21.1796472034674,1.47130146481539e-99,6.84097483042497e-97
AT1G51140,3429.74311146812,3.42942039822328,0.162585385864029,21.0930421574994,9.21415393180593e-99,4.20183138817142e-96
AT3G20300,1029.78334808955,4.64659335679178,0.221911099083863,20.9389858189823,2.36438604007507e-97,1.05786200317547e-94
AT1G78070,2212.87184747506,2.97724189838877,0.142398486354975,20.9078198413361,4.54532617053236e-97,1.99598739781174e-94
AT4G31860,4832.02900192445,1.84823397937564,0.0899095310456274,20.5565968132756,6.71830978629246e-94,2.89656872658824e-91
AT2G40330,2806.68205618843,-7.25426647356644,0.354044639019144,-20.4896944454911,2.66057722490657e-93,1.12661192382517e-90
AT3G30210,372.475994260789,8.62803286467407,0.422025182167171,20.444355524871,6.74432013189995e-93,2.8057554962762e-90
AT4G24780,14835.066575633,-2.60219394413273,0.127536462064976,-20.4035293280049,1.55571766112408e-92,6.36047118935093e-90
AT2G02990,1463.10395858404,3.16028000436584,0.155451241603064,20.3297186421671,7.02038653947281e-92,2.82160044085625e-89
AT1G14730,3262.63297567791,2.27143976764958,0.112870018930114,20.1243854584272,4.51333143851251e-90,1.78374380669079e-87
AT3G22830,1779.81420817984,5.28967354946081,0.263610211294254,20.0662695253342,1.45526358044968e-89,5.65715824314808e-87
AT2G30550,4069.18800611532,2.45741206366205,0.122749476648382,20.0197355684159,3.70683178544883e-89,1.41774358271529e-86
AT2G04350,6196.73651963763,2.43438322405623,0.121693125725537,20.0042788739494,5.05443253495299e-89,1.90247236033874e-86
AT3G51860,6567.56354170008,1.71220534537323,0.085801314285312,19.9554675780338,1.34360316541391e-88,4.97825966585313e-86
AT1G78610,4434.95163067812,1.4027134271886,0.0711382031295409,19.7181453210773,1.50652285311154e-86,5.49602714089752e-84
AT1G17550,4594.13391841926,1.54392584273143,0.0783164618993226,19.7139375973877,1.6371816148367e-86,5.88219509585191e-84
AT5G05440,5265.22609132783,-3.33115815661078,0.170016750603068,-19.5931174122243,1.77012483760282e-85,6.26492093642922e-83
AT4G26080,14374.1057242039,3.01438499663037,0.155764823296955,19.3521549527498,1.95494945190487e-83,6.81731122838531e-81
AT4G23050,4080.81352091745,2.10231042614487,0.108696195244979,19.3411592871921,2.41973749505472e-83,8.31583119133804e-81
